priority,type,function,command type,query list,import script name,trigger words
1,Weather,_speak_command_check_weather,Free,,basic_commands,"weather, how is the weather"
1,Return,_speak_command_return,Strict,,basic_commands,"nevermind, stop"
2,Weather,_query_command_weather,Free,"in,at,around",basic_commands,"weather, what is it like"
1,Time,tell_time,Free,,import_example,what time is it
1,Date,tell_date,Free,,import_example,"what day is it, what is today, what day is today, what day is it today"
1,Date,tell_calendar,Free,,import_example,"what is the date, what date is it"
1,Food,menu_today,Free,,cafe_menu,"what's on the menu today, tell me the menu today"
